Accident_Date,Airline,Severity,Fatalities,Survivors,Aircraft_Type,Accident_Cause,Location,Weather_Condition,Altitude_ft,Speed_knots,Pilot_Experience_Years,Time_of_Accident,Majority_Survivor_Location,Plane_Damage
24/08/2017,Emirates,Minor,10,31,Bombardier CRJ900,Controlled flight into terrain,"Paris, France",Clear,25587,367,1,Night,Back,Full Plane
27/10/2018,British Airways,Minor,5,134,Airbus A320,Landing gear malfunction,"São Paulo, Brazil",Snow,39617,255,32,Daylight,Front,Full Plane
08/11/2016,Delta,Minor,2,9,Boeing 777,Bird strike,"Tokyo, Japan",Fog,18502,461,6,Daylight,Front,Partial - High Monetary Damage
07/08/2011,Qatar Airways,Minor,9,106,Embraer 190,Bird strike,"Sydney, Australia",Thunderstorm,33206,553,29,Night,Back,Partial - Low Monetary Damage
07/10/2011,Turkish Airlines,Minor,1,118,Airbus A320,Severe turbulence,"Paris, France",Windy,37369,446,16,Daylight,Front,Full Plane
26/04/2023,American Airlines,Minor,4,201,Boeing 737,Bird strike,"Paris, France",Rain,39182,506,19,Night,Back,Full Plane
03/12/2023,Lufthansa,Severe,190,90,Airbus A380,Bird strike,"Toronto, Canada",Clear,14477,598,15,Night,Front,Partial - High Monetary Damage
04/07/2013,Delta,Minor,3,224,Airbus A380,Pilot error,"Sydney, Australia",Thunderstorm,3824,138,18,Daylight,Front,Partial - High Monetary Damage
30/04/2018,Emirates,Severe,239,75,Boeing 777,Bird strike,"London, UK",Clear,2007,569,25,Night,Front,Partial - High Monetary Damage
08/05/2018,Lufthansa,Minor,5,137,Boeing 747,Structural failure,"São Paulo, Brazil",Fog,24198,187,25,Night,Back,Partial - High Monetary Damage
19/12/2011,United,Severe,294,154,Boeing 777,Landing gear malfunction,"Mumbai, India",Clear,6944,597,4,Night,Back,Partial - High Monetary Damage
14/12/2012,Qatar Airways,Minor,10,168,Embraer 190,Structural failure,"London, UK",Snow,38721,383,40,Night,Front,Partial - High Monetary Damage
12/03/2017,Delta,Severe,147,65,Boeing 737,Sabotage,"São Paulo, Brazil",Windy,22330,292,22,Night,Back,Partial - High Monetary Damage
21/03/2015,American Airlines,Minor,5,95,Airbus A350,Controlled flight into terrain,"Sydney, Australia",Snow,28356,269,17,Night,Front,Full Plane
15/06/2021,Delta,Minor,0,247,Boeing 737,Structural failure,"Dubai, UAE",Clear,29584,284,31,Daylight,Back,Partial - Low Monetary Damage
19/10/2010,Qatar Airways,Minor,8,184,Boeing 737,Pilot error,"Sydney, Australia",Snow,22797,513,4,Night,Front,Partial - High Monetary Damage
27/11/2020,British Airways,Severe,213,132,Airbus A320,Landing gear malfunction,"Toronto, Canada",Windy,26338,365,4,Daylight,Back,Partial - High Monetary Damage
05/08/2021,American Airlines,Minor,6,69,Boeing 747,Bird strike,"London, UK",Clear,13645,529,27,Daylight,Front,Partial - Low Monetary Damage
10/09/2011,American Airlines,Severe,196,199,Boeing 737,Fuel exhaustion,"Paris, France",Thunderstorm,23961,554,4,Daylight,Back,Partial - Low Monetary Damage
25/02/2023,Qatar Airways,Minor,2,250,Boeing 747,Lightning strike,"Sydney, Australia",Fog,23859,598,16,Night,Back,Partial - Low Monetary Damage
17/01/2012,Delta,Severe,220,119,Boeing 777,Severe turbulence,"São Paulo, Brazil",Thunderstorm,33086,543,37,Night,Back,Full Plane
06/08/2015,Singapore Airlines,Severe,264,68,Airbus A350,Landing gear malfunction,"Beijing, China",Fog,19414,156,34,Night,Front,Full Plane
29/09/2017,British Airways,Severe,85,247,Airbus A380,Engine failure during takeoff,"London, UK",Snow,9544,292,5,Night,Back,Partial - High Monetary Damage
24/06/2010,United,Minor,7,91,Bombardier CRJ900,Severe turbulence,"New York, USA",Fog,12073,335,4,Night,Back,Full Plane
01/11/2017,Air India,Severe,266,94,Airbus A380,Severe turbulence,"London, UK",Snow,29376,276,29,Daylight,Front,Full Plane
03/01/2015,British Airways,Severe,290,75,Airbus A380,Bird strike,"Paris, France",Thunderstorm,5663,488,37,Night,Back,Partial - Low Monetary Damage
11/06/2025,Air India,Minor,10,52,Bombardier CRJ900,Pilot error,"Dubai, UAE",Snow,29863,417,23,Night,Back,Partial - Low Monetary Damage
15/12/2016,United,Minor,0,161,Bombardier CRJ900,Sabotage,"São Paulo, Brazil",Fog,10227,191,7,Night,Front,Full Plane
17/09/2023,American Airlines,Minor,2,178,Bombardier CRJ900,Severe turbulence,"Dubai, UAE",Windy,25540,210,26,Daylight,Back,Full Plane
12/09/2015,Emirates,Minor,5,121,Airbus A380,Severe turbulence,"Paris, France",Rain,26490,375,13,Night,Front,Partial - High Monetary Damage
15/07/2011,Qatar Airways,Minor,2,74,Airbus A320,Fuel exhaustion,"Paris, France",Rain,8733,205,22,Night,Back,Full Plane
30/10/2023,American Airlines,Minor,10,163,Boeing 777,Runway excursion,"Tokyo, Japan",Snow,23699,582,9,Daylight,Back,Full Plane
28/12/2025,American Airlines,Minor,10,25,Embraer 190,Pilot error,"Dubai, UAE",Rain,26548,537,5,Daylight,Back,Partial - Low Monetary Damage
20/07/2020,Qatar Airways,Minor,5,49,Airbus A320,Runway excursion,"London, UK",Clear,24048,149,17,Night,Back,Partial - High Monetary Damage
20/06/2012,Lufthansa,Minor,10,200,Boeing 777,Runway excursion,"São Paulo, Brazil",Windy,1696,400,6,Daylight,Front,Partial - High Monetary Damage
22/06/2017,Qatar Airways,Minor,10,296,Boeing 777,Controlled flight into terrain,"São Paulo, Brazil",Clear,16973,212,12,Night,Back,Full Plane
09/07/2025,Turkish Airlines,Minor,4,96,Boeing 777,Landing gear malfunction,"Paris, France",Thunderstorm,25085,259,1,Daylight,Back,Full Plane
25/02/2021,Emirates,Minor,10,95,Airbus A320,Engine failure during takeoff,"Mumbai, India",Fog,523,372,11,Night,Back,Full Plane
16/01/2017,United,Severe,76,290,Bombardier CRJ900,Engine failure during takeoff,"Dubai, UAE",Snow,31222,490,11,Daylight,Back,Partial - High Monetary Damage
11/01/2018,Delta,Minor,1,226,Airbus A320,Runway excursion,"Toronto, Canada",Snow,1478,588,19,Night,Front,Partial - High Monetary Damage
16/02/2021,Delta,Severe,240,129,Boeing 777,Engine failure during takeoff,"Tokyo, Japan",Windy,2807,392,7,Daylight,Front,Full Plane
20/09/2012,Air India,Minor,10,185,Airbus A380,Severe turbulence,"London, UK",Snow,5439,146,32,Daylight,Front,Partial - High Monetary Damage
19/10/2018,Singapore Airlines,Severe,65,49,Embraer 190,Structural failure,"São Paulo, Brazil",Rain,19271,380,22,Daylight,Back,Partial - High Monetary Damage
11/09/2019,British Airways,Severe,278,43,Airbus A350,Lightning strike,"Toronto, Canada",Snow,17986,556,26,Night,Front,Partial - High Monetary Damage
05/03/2015,Turkish Airlines,Minor,5,202,Airbus A380,Runway excursion,"Mumbai, India",Fog,7289,466,5,Night,Back,Full Plane
23/11/2013,Lufthansa,Severe,140,173,Boeing 747,Landing gear malfunction,"New York, USA",Windy,14580,491,25,Daylight,Back,Partial - High Monetary Damage
20/07/2021,Singapore Airlines,Minor,6,35,Embraer 190,Structural failure,"Sydney, Australia",Windy,333,121,33,Daylight,Back,Full Plane
03/03/2024,Emirates,Minor,2,216,Boeing 737,Sabotage,"Toronto, Canada",Thunderstorm,24777,474,3,Night,Front,Partial - High Monetary Damage
27/07/2024,British Airways,Severe,217,2,Embraer 190,Structural failure,"Toronto, Canada",Windy,33373,128,39,Night,Front,Full Plane
12/12/2012,Singapore Airlines,Minor,4,279,Boeing 737,Runway excursion,"Sydney, Australia",Rain,27589,200,22,Night,Front,Partial - High Monetary Damage
24/03/2016,British Airways,Minor,1,204,Airbus A350,Bird strike,"London, UK",Clear,11798,591,28,Night,Front,Full Plane
10/03/2019,Singapore Airlines,Minor,2,88,Embraer 190,Mid-air collision,"New York, USA",Clear,17083,372,17,Daylight,Back,Full Plane
09/07/2015,American Airlines,Minor,6,151,Boeing 737,Severe turbulence,"Sydney, Australia",Thunderstorm,2655,133,6,Night,Front,Partial - High Monetary Damage
23/05/2010,Turkish Airlines,Minor,10,166,Airbus A380,Bird strike,"Mumbai, India",Snow,33551,519,34,Daylight,Back,Full Plane
29/08/2019,Lufthansa,Minor,6,54,Airbus A350,Lightning strike,"Tokyo, Japan",Clear,29168,232,22,Night,Back,Partial - High Monetary Damage
12/09/2012,American Airlines,Severe,164,115,Embraer 190,Lightning strike,"Dubai, UAE",Thunderstorm,6724,543,18,Night,Front,Full Plane
17/03/2019,Qatar Airways,Minor,6,102,Bombardier CRJ900,Fuel exhaustion,"New York, USA",Snow,337,297,8,Night,Back,Full Plane
03/01/2013,Delta,Minor,10,297,Airbus A380,Structural failure,"São Paulo, Brazil",Windy,224,196,13,Night,Front,Partial - Low Monetary Damage
02/09/2011,British Airways,Minor,8,217,Boeing 777,Engine failure during takeoff,"São Paulo, Brazil",Clear,26991,232,14,Daylight,Back,Partial - Low Monetary Damage
21/01/2025,Emirates,Minor,0,218,Bombardier CRJ900,Pilot error,"London, UK",Windy,26815,165,13,Night,Back,Full Plane
07/01/2025,Singapore Airlines,Minor,10,2,Embraer 190,Structural failure,"Beijing, China",Snow,35487,460,28,Night,Front,Partial - High Monetary Damage
12/01/2022,Turkish Airlines,Severe,289,174,Boeing 777,Bird strike,"Paris, France",Thunderstorm,39289,410,26,Daylight,Back,Partial - High Monetary Damage
27/09/2024,Singapore Airlines,Minor,9,237,Airbus A380,Sabotage,"London, UK",Clear,3866,518,24,Daylight,Back,Full Plane
07/03/2018,Turkish Airlines,Minor,4,165,Boeing 747,Landing gear malfunction,"Tokyo, Japan",Fog,17822,188,1,Daylight,Front,Full Plane
14/09/2019,Turkish Airlines,Minor,0,76,Bombardier CRJ900,Pilot error,"Dubai, UAE",Thunderstorm,6572,259,9,Daylight,Back,Partial - Low Monetary Damage
30/04/2015,United,Minor,5,294,Airbus A320,Bird strike,"Toronto, Canada",Thunderstorm,31841,568,34,Daylight,Back,Full Plane
01/02/2017,Delta,Minor,9,207,Embraer 190,Controlled flight into terrain,"Tokyo, Japan",Thunderstorm,8885,180,22,Night,Back,Partial - Low Monetary Damage
12/12/2012,American Airlines,Minor,6,202,Boeing 737,Landing gear malfunction,"Toronto, Canada",Fog,35146,152,39,Daylight,Back,Partial - High Monetary Damage
17/03/2010,United,Minor,4,156,Embraer 190,Severe turbulence,"Sydney, Australia",Clear,9222,452,5,Night,Front,Full Plane
07/01/2010,United,Severe,173,245,Airbus A320,Bird strike,"London, UK",Snow,505,411,22,Daylight,Front,Partial - High Monetary Damage
11/04/2020,Lufthansa,Severe,59,33,Airbus A320,Sabotage,"Toronto, Canada",Clear,30914,548,28,Daylight,Back,Partial - High Monetary Damage
11/10/2019,Lufthansa,Minor,3,47,Boeing 777,Severe turbulence,"São Paulo, Brazil",Snow,26715,289,21,Night,Front,Full Plane
23/08/2011,United,Minor,3,262,Boeing 737,Bird strike,"London, UK",Fog,11042,394,36,Night,Front,Partial - High Monetary Damage
05/01/2017,Emirates,Severe,158,43,Airbus A350,Engine failure during takeoff,"Mumbai, India",Clear,12594,337,8,Night,Back,Partial - Low Monetary Damage
07/12/2010,British Airways,Minor,4,108,Boeing 747,Mid-air collision,"Tokyo, Japan",Fog,32866,481,29,Daylight,Front,Partial - Low Monetary Damage
26/06/2016,Delta,Minor,2,68,Embraer 190,Runway excursion,"Sydney, Australia",Snow,7295,530,40,Daylight,Back,Full Plane
14/06/2013,British Airways,Severe,265,1,Boeing 747,Pilot error,"Tokyo, Japan",Clear,7976,223,7,Daylight,Front,Partial - Low Monetary Damage
25/03/2011,Lufthansa,Minor,4,232,Bombardier CRJ900,Mid-air collision,"São Paulo, Brazil",Thunderstorm,23014,600,24,Night,Back,Full Plane
19/01/2017,United,Minor,5,79,Airbus A350,Sabotage,"Paris, France",Clear,10573,490,31,Night,Back,Full Plane
14/08/2023,Turkish Airlines,Minor,3,98,Boeing 747,Structural failure,"São Paulo, Brazil",Windy,9175,533,36,Night,Back,Full Plane
12/08/2022,Qatar Airways,Severe,300,293,Airbus A350,Fuel exhaustion,"Beijing, China",Fog,15031,126,11,Daylight,Back,Full Plane
16/10/2024,Air India,Severe,233,60,Boeing 747,Mid-air collision,"Mumbai, India",Thunderstorm,9360,530,37,Night,Front,Partial - High Monetary Damage
24/08/2018,Delta,Severe,89,298,Bombardier CRJ900,Landing gear malfunction,"Toronto, Canada",Fog,36189,400,4,Daylight,Front,Partial - High Monetary Damage
27/03/2021,Delta,Severe,56,44,Bombardier CRJ900,Fuel exhaustion,"Dubai, UAE",Windy,9704,476,22,Night,Front,Partial - High Monetary Damage
15/01/2018,British Airways,Minor,6,275,Embraer 190,Sabotage,"New York, USA",Rain,11860,572,12,Night,Back,Partial - High Monetary Damage
22/12/2024,Singapore Airlines,Severe,131,134,Boeing 777,Lightning strike,"Dubai, UAE",Rain,11468,152,20,Night,Front,Partial - High Monetary Damage
17/08/2024,British Airways,Minor,4,204,Bombardier CRJ900,Sabotage,"Sydney, Australia",Rain,36442,188,38,Daylight,Front,Partial - High Monetary Damage
03/06/2019,Singapore Airlines,Minor,3,168,Airbus A350,Landing gear malfunction,"Sydney, Australia",Fog,10159,132,12,Night,Front,Partial - Low Monetary Damage
12/05/2023,Air India,Minor,2,186,Airbus A320,Runway excursion,"Mumbai, India",Rain,18606,363,11,Daylight,Back,Full Plane
28/12/2019,Qatar Airways,Minor,6,27,Bombardier CRJ900,Engine failure during takeoff,"Sydney, Australia",Snow,863,260,6,Night,Front,Full Plane
01/05/2020,Singapore Airlines,Severe,212,210,Airbus A350,Structural failure,"São Paulo, Brazil",Thunderstorm,35130,179,38,Daylight,Back,Full Plane
26/09/2011,American Airlines,Severe,67,111,Airbus A320,Runway excursion,"Sydney, Australia",Windy,18200,341,8,Night,Back,Full Plane
12/11/2016,Emirates,Minor,4,221,Boeing 747,Fuel exhaustion,"Dubai, UAE",Windy,30870,563,7,Night,Front,Full Plane
05/04/2014,Turkish Airlines,Minor,3,297,Boeing 747,Controlled flight into terrain,"Tokyo, Japan",Fog,21413,198,19,Night,Front,Partial - High Monetary Damage
20/05/2025,Turkish Airlines,Severe,126,260,Boeing 747,Bird strike,"Mumbai, India",Windy,10193,251,11,Daylight,Back,Full Plane
03/11/2014,Singapore Airlines,Minor,0,174,Boeing 747,Fuel exhaustion,"Tokyo, Japan",Rain,34472,146,37,Night,Back,Partial - High Monetary Damage
15/07/2025,British Airways,Minor,10,32,Airbus A380,Pilot error,"London, UK",Rain,12622,144,38,Night,Front,Partial - High Monetary Damage
23/06/2019,Delta,Minor,3,193,Airbus A350,Runway excursion,"Dubai, UAE",Snow,23456,251,39,Night,Back,Partial - High Monetary Damage
16/07/2010,British Airways,Minor,7,234,Airbus A350,Bird strike,"Mumbai, India",Windy,39714,470,18,Night,Front,Full Plane
01/05/2021,United,Severe,68,215,Airbus A380,Pilot error,"Toronto, Canada",Thunderstorm,38735,305,33,Night,Back,Partial - Low Monetary Damage
11/12/2010,United,Severe,138,184,Airbus A380,Bird strike,"Paris, France",Clear,39026,145,8,Daylight,Back,Partial - High Monetary Damage
19/04/2023,Turkish Airlines,Minor,2,181,Airbus A350,Severe turbulence,"Beijing, China",Clear,19474,200,19,Night,Front,Full Plane
07/11/2010,Turkish Airlines,Severe,277,297,Boeing 747,Controlled flight into terrain,"Tokyo, Japan",Fog,2093,227,8,Night,Back,Partial - Low Monetary Damage
14/06/2012,Turkish Airlines,Minor,4,38,Airbus A380,Runway excursion,"São Paulo, Brazil",Clear,84,142,19,Night,Back,Full Plane
28/12/2010,Delta,Minor,3,194,Airbus A350,Sabotage,"Tokyo, Japan",Windy,17886,270,1,Daylight,Front,Partial - Low Monetary Damage
07/10/2011,Delta,Severe,253,211,Embraer 190,Mid-air collision,"Tokyo, Japan",Windy,6046,551,6,Night,Back,Partial - High Monetary Damage
19/05/2016,Turkish Airlines,Minor,1,299,Boeing 747,Runway excursion,"Dubai, UAE",Rain,2556,428,14,Daylight,Front,Partial - High Monetary Damage
14/05/2019,Delta,Severe,61,226,Boeing 747,Fuel exhaustion,"Mumbai, India",Windy,36322,282,33,Daylight,Front,Full Plane
26/02/2012,Qatar Airways,Minor,9,207,Embraer 190,Pilot error,"Mumbai, India",Windy,17562,285,24,Daylight,Back,Partial - High Monetary Damage
15/02/2011,Singapore Airlines,Minor,1,31,Airbus A380,Fuel exhaustion,"Paris, France",Fog,29646,200,26,Night,Front,Partial - High Monetary Damage
09/11/2014,Air India,Minor,5,94,Boeing 777,Pilot error,"Tokyo, Japan",Rain,39671,534,37,Night,Back,Partial - High Monetary Damage
16/06/2023,British Airways,Severe,223,70,Boeing 747,Engine failure during takeoff,"Beijing, China",Fog,7590,127,38,Night,Front,Partial - High Monetary Damage
03/05/2013,Qatar Airways,Minor,6,101,Airbus A380,Engine failure during takeoff,"Sydney, Australia",Windy,14953,587,13,Night,Front,Partial - Low Monetary Damage
21/11/2020,British Airways,Severe,186,193,Airbus A350,Controlled flight into terrain,"New York, USA",Rain,24446,132,38,Daylight,Back,Partial - High Monetary Damage
08/07/2021,American Airlines,Minor,3,140,Airbus A350,Landing gear malfunction,"Toronto, Canada",Fog,6670,264,8,Daylight,Front,Full Plane
06/10/2021,Turkish Airlines,Severe,216,156,Airbus A380,Pilot error,"Beijing, China",Thunderstorm,7566,214,19,Night,Front,Partial - High Monetary Damage
26/03/2021,Turkish Airlines,Minor,0,292,Bombardier CRJ900,Pilot error,"Dubai, UAE",Snow,16139,119,11,Night,Back,Partial - High Monetary Damage
02/07/2022,American Airlines,Minor,9,293,Boeing 777,Controlled flight into terrain,"Tokyo, Japan",Clear,22742,197,27,Daylight,Front,Partial - High Monetary Damage
15/03/2012,Emirates,Minor,5,177,Airbus A320,Fuel exhaustion,"Tokyo, Japan",Snow,1946,130,21,Daylight,Front,Full Plane
24/01/2022,United,Minor,3,53,Boeing 747,Pilot error,"New York, USA",Clear,20605,513,10,Night,Front,Partial - High Monetary Damage
28/04/2023,Qatar Airways,Severe,236,148,Airbus A380,Controlled flight into terrain,"Toronto, Canada",Fog,12729,257,1,Daylight,Back,Partial - High Monetary Damage
24/08/2014,British Airways,Minor,1,120,Airbus A380,Structural failure,"Beijing, China",Fog,20885,251,8,Night,Front,Full Plane
10/11/2010,United,Minor,2,230,Airbus A350,Fuel exhaustion,"Toronto, Canada",Thunderstorm,29032,105,11,Night,Front,Full Plane
21/04/2016,Turkish Airlines,Minor,2,2,Boeing 777,Sabotage,"Dubai, UAE",Rain,9543,330,2,Night,Front,Full Plane
06/10/2018,Turkish Airlines,Minor,5,137,Bombardier CRJ900,Bird strike,"Tokyo, Japan",Fog,10795,325,7,Daylight,Back,Full Plane
21/09/2024,British Airways,Minor,2,100,Airbus A350,Mid-air collision,"Sydney, Australia",Clear,34774,372,29,Daylight,Back,Full Plane
27/07/2012,Emirates,Severe,238,128,Airbus A380,Severe turbulence,"Sydney, Australia",Fog,38800,145,20,Night,Front,Partial - High Monetary Damage
28/08/2018,British Airways,Minor,6,79,Embraer 190,Severe turbulence,"Tokyo, Japan",Snow,8601,443,3,Night,Back,Partial - High Monetary Damage
15/06/2015,Air India,Severe,120,151,Bombardier CRJ900,Bird strike,"Beijing, China",Rain,501,464,10,Night,Front,Partial - High Monetary Damage
12/06/2022,Lufthansa,Minor,9,53,Boeing 747,Mid-air collision,"London, UK",Snow,28618,151,4,Daylight,Front,Partial - Low Monetary Damage
24/09/2021,Emirates,Severe,163,214,Bombardier CRJ900,Bird strike,"Toronto, Canada",Thunderstorm,18957,557,40,Daylight,Front,Partial - High Monetary Damage
21/07/2012,American Airlines,Minor,4,79,Airbus A350,Sabotage,"Tokyo, Japan",Thunderstorm,7710,124,33,Daylight,Back,Partial - Low Monetary Damage
22/02/2019,Qatar Airways,Severe,162,220,Boeing 777,Structural failure,"Tokyo, Japan",Windy,23552,415,20,Daylight,Front,Partial - Low Monetary Damage
26/05/2021,Air India,Minor,8,101,Boeing 747,Pilot error,"Sydney, Australia",Clear,32071,554,20,Night,Back,Full Plane
11/08/2020,Emirates,Minor,7,61,Airbus A320,Runway excursion,"Toronto, Canada",Fog,36472,479,28,Night,Back,Full Plane
15/11/2025,Air India,Severe,65,254,Boeing 747,Lightning strike,"New York, USA",Snow,2682,308,40,Daylight,Back,Full Plane
06/01/2022,Qatar Airways,Minor,6,239,Airbus A320,Sabotage,"São Paulo, Brazil",Thunderstorm,39242,284,33,Night,Back,Full Plane
26/11/2017,Qatar Airways,Minor,7,240,Embraer 190,Sabotage,"New York, USA",Windy,30432,414,33,Daylight,Back,Full Plane
27/12/2011,Qatar Airways,Severe,216,139,Embraer 190,Structural failure,"São Paulo, Brazil",Thunderstorm,34353,381,34,Daylight,Back,Partial - Low Monetary Damage
30/10/2021,American Airlines,Minor,10,139,Boeing 737,Controlled flight into terrain,"Tokyo, Japan",Clear,15745,255,26,Night,Back,Partial - High Monetary Damage
